Size of container , Append, Prepend, Remove from end, Remove from beginning, Empty, Insert, Remove duplicates, Reverse, Swap
100,8,14,1,2,1,58,2129,2,1
200,10,15,1,2,1,54,8538,2,1
300,10,17,1,2,1,22,19188,2,1
400,29,21,1,6,1,94,35365,2,1
500,10,30,1,2,1,39,55178,2,1
600,28,38,1,3,1,91,77619,2,1
700,11,52,1,3,1,54,104837,3,1
800,10,78,1,3,1,107,141882,2,1
900,10,76,1,3,1,101,175334,3,1
1000,30,331,1,3,1,79,215824,3,1
